醫院行政管理人員,其他專業
照顧服務員,其他專業
按摩／推拿師,其他專業
診所助理,其他專業
牙醫助理,其他專業
放射性設備使用技術員,其他專業
醫療設備控制人員,其他專業
其他醫療從業人員,其他專業
安心服務員,其他專業
照顧指導員,其他專業
居家服務督導員,其他專業
志願役軍官／士官／士兵,其他專業
消防專業人員,其他專業
消防員,其他專業
救生員,其他專業
保全人員／警衛,其他專業
保全技術人員,其他專業
大樓管理員,其他專業
其他保安服務工作,其他專業
總幹事,其他專業
農藝作物栽培工作者,其他專業
一般動物飼育工作者,其他專業
林木伐運工作者,其他專業
水產養殖工作者,其他專業
顧問人員,其他專業
志工人員,其他專業
生命禮儀師,其他專業
星象占卜人員,其他專業
公家機關相關人員,其他專業
藝術品／珠寶鑑價／拍賣顧問,其他專業
家庭代工,其他專業
花藝／園藝人員,其他專業
生鮮人員,其他專業
加油員,其他專業
派報生／傳單派送,其他專業
清潔工／資源回收人員,其他專業
家事服務人員,其他專業
汽車美容人員,其他專業
