電腦系統整合服務相關,資訊科技,軟體網路
電腦軟體相關,資訊科技,軟體網路
遊戲電玩,資訊科技,軟體網路
網路相關,資訊科技,軟體網路
多媒體相關,資訊科技,軟體網路
數位內容相關,資訊科技,軟體網路
其它網路／軟體相關,資訊科技,軟體網路
電信相關,資訊科技,電信通訊
通訊機械器材相關,資訊科技,電信通訊
其它電信／通訊相關,資訊科技,電信通訊
電腦／週邊設備製造,資訊科技,電腦週邊
資料儲存／媒體製造相關,資訊科技,電腦週邊
消費性電子產品製造,資訊科技,電腦週邊
光電相關,資訊科技,光電光學
光學器材製造,資訊科技,光電光學
印刷電路板製造業(PCB),資訊科技,電子相關
被動電子元件製造,資訊科技,電子相關
其它電子零組件相關,資訊科技,電子相關
IC設計相關,資訊科技,半導體業
半導體製造,資訊科技,半導體業
其它半導體相關,資訊科技,半導體業
菸酒製造／加工,傳產製造,食品飲料
屠宰,傳產製造,食品飲料
乳品製造,傳產製造,食品飲料
食品製造／加工,傳產製造,食品飲料
糖果點心,傳產製造,食品飲料
食用油品／榖製品製造,傳產製造,食品飲料
製糖,傳產製造,食品飲料
調味用品製造,傳產製造,食品飲料
飲料製造,傳產製造,食品飲料
其它食品製造,傳產製造,食品飲料
紡紗,傳產製造,紡織相關
織布,傳產製造,紡織相關
不織布,傳產製造,紡織相關
繩／纜／網／氈／毯製造,傳產製造,紡織相關
印染整理,傳產製造,紡織相關
其它紡織印染,傳產製造,紡織相關
鞋類製造,傳產製造,鞋類紡織
紡織成衣,傳產製造,鞋類紡織
紡織帽製造,傳產製造,鞋類紡織
服飾品製造,傳產製造,鞋類紡織
其它紡織製品製造,傳產製造,鞋類紡織
木竹家飾／裝設品製造／加工,傳產製造,家具家飾
家具／家飾／裝設品表面塗裝／加工,傳產製造,家具家飾
金屬家具／家飾／裝設品製造／加工,傳產製造,家具家飾
非金屬家具／家飾／裝設品製造／加工,傳產製造,家具家飾
紙相關製造,傳產製造,紙製製造
加工紙製造,傳產製造,紙製製造
紙容器製造,傳產製造,紙製製造
其它紙製品製造,傳產製造,紙製製造
製版,傳產製造,印刷相關
印刷,傳產製造,印刷相關
印刷品裝訂／加工,傳產製造,印刷相關
其它印刷相關,傳產製造,印刷相關
化學原料製造,傳產製造,化學製造
人造纖維製造,傳產製造,化學製造
塑膠／橡膠／合成樹脂製造,傳產製造,化學製造
塗料／染料／顏料製造,傳產製造,化學製造
藥品製造,傳產製造,化學製造
清潔用品製造,傳產製造,化學製造
